"","X","Company_Name","Dependent.Company.Status","Age.of.company.in.years","Internet.Activity.Score","Has.the.team.size.grown","Number.of.Investors.in.Seed","Number.of.Investors.in.Angel.and.or.VC","Number.of.Co.founders","Number.of.of.advisors","Team.size.Senior.leadership","Team.size.all.employees","Number.of.of.repeat.investors","Number.of..Sales.Support.material","Worked.in.top.companies","Average.size.of.companies.worked.for.in.the.past","Have.been.part.of.startups.in.the.past.","Have.been.part.of.successful.startups.in.the.past.","Was.he.or.she.partner.in.Big.5.consulting.","Consulting.experience.","Product.or.service.company.","Catering.to.product.service.across.verticals","Focus.on.private.or.public.data.","Focus.on.consumer.data.","Focus.on.structured.or.unstructured.data","Subscription.based.business","Cloud.or.platform.based.serive.product.","Local.or.global.player","Linear.or.Non.linear.business.model","Capital.intensive.business.e.g..e.commerce..Engineering.products.and.operations.can.also.cause.a.business.to.be.capital.intensive","Crowdsourcing.based.business","Crowdfunding.based.business","Machine.Learning.based.business","Predictive.Analytics.business","Speech.analytics.business","Prescriptive.analytics.business","Big.Data.Business","Cross.Channel.Analytics..marketing.channels","Owns.data.or.not...monetization.of.data..e.g..Factual","Is.the.company.an.aggregator.market.place..e.g..Bluekai","Online.or.offline.venture...physical.location.based.business.or.online.venture.","B2C.or.B2B.venture.","Barriers.of.entry.for.the.competitors","Percent_skill_Entrepreneurship","Percent_skill_Operations","Percent_skill_Engineering","Percent_skill_Marketing","Percent_skill_Leadership","Percent_skill_Data.Science","Percent_skill_Business.Strategy","Percent_skill_Product.Management","Percent_skill_Sales","Percent_skill_Domain","Percent_skill_Law","Percent_skill_Consulting","Percent_skill_Finance","Percent_skill_Investment","Renown.score","Is_marketing","Is_analytics","Is_e_commerce","Is_telco","Is_software","Is_advertising","Is_entertainment","Is_retail","Is_energy","Is_healthcare","Is_education","Is_HR","Is_finance","Is_transport","Is_real_estate","important_investors"
"97",97,"company97","success",2,504,"no",2,0,3,1,3,4,0,"medium","no","small","no","no","no","no","service","no","both","yes","unstructured","no","none","global","non-linear","no","no","no","no","no","no","no","yes","no","no","yes","online","b2b","no",0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100",100,"company100","success",2,220,"no",3,0,2,0,4,6,0,"medium","no","medium","yes","yes","no","yes","product","no","both","yes","structured","no","platform","local","non-linear","no","no","no","no","no","no","no","no","no","no","yes","online","b2c","yes",16.66666667,0,0,41.66666667,8.333333333,0,8.333333333,8.333333333,0,16.66666667,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"102",102,"company102","success",2,-2,"no",0,1,3,0,3,5,0,"medium","no","small","yes","yes","no","yes","product","yes","both","yes","unstructured","no","platform","global","non-linear","no","no","no","no","yes","no","no","yes","no","no","yes","online","b2c","no",2.222222222,2.222222222,17.77777778,2.222222222,0,4.444444444,0,2.222222222,0,2.222222222,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"103",103,"company103","success",4,-34,"no",0,1,2,0,4,50,0,"medium","no","small","yes","yes","no","no","product","no","both","no","both","no","platform","global","linear","yes","no","no","yes","yes","no","yes","yes","no","no","no","online","b2b","yes",7.692307692,3.846153846,13.84615385,0,7.692307692,3.846153846,3.846153846,10,7.692307692,41.53846154,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"104",104,"company104","success",5,-26,"no",1,0,1,0,1,50,0,"low","no","medium","yes","yes","no","no","service","yes","both","yes","structured","yes","platform","global","non-linear","no","no","no","no","no","no","no","yes","no","no","no","offline","b2b","yes",5.555555556,16.66666667,5.555555556,22.22222222,0,11.11111111,22.22222222,0,5.555555556,11.11111111,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"105",105,"company105","success",5,265,"no",2,1,0,1,7,10,0,"high","no","medium","yes","yes","no","no","service","yes","both","yes","structured","yes","cloud","global","non-linear","no","no","no","no","no","no","yes","no","yes","no","no","online","b2b","no",15.38461538,0,38.46153846,7.692307692,0,15.38461538,15.38461538,0,0,7.692307692,0,0,0,0,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"106",106,"company106","success",2,-2,"no",3,0,1,0,2,10,0,"nothing","no","small","yes","no","no","no","service","yes","no","no","not applicable","yes","cloud","global","linear","no","no","no","no","no","no","no","no","yes","no","no","online","b2b","no",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"108",108,"company108","success",3,338,"no",22,0,2,0,2,10,2,"low","yes","large","yes","yes","no","yes","service","yes","private","no","both","no","cloud","global","linear","no","no","no","no","yes","no","yes","no","yes","no","no","online","b2b","yes",20,0,10,10,0,0,0,10,0,0,0,0,0,0,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"110",110,"company110","success",4,16,"no",1,0,0,0,3,10,0,"nothing","no","small","yes","no","no","yes","service","no","public","yes","both","no","cloud","local","non-linear","no","no","no","no","no","no","no","yes","no","no","no","online","b2b","yes",16.66666667,5.555555556,0,38.88888889,5.555555556,16.66666667,11.11111111,0,5.555555556,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"112",112,"company112","success",2,98,"no",5,0,3,4,4,14,0,"low","no","large","yes","yes","no","no","both","no","public","no","both","no","cloud","global","non-linear","no","no","no","no","no","no","no","yes","no","no","no","online","b2b","yes",8.088235294,6.25,21.69117647,3.921568627,6.25,6.004901961,4.166666667,4.044117647,6.25,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"113",113,"company113","success",4,115,"no",4,0,0,0,3,15,0,"medium","no","small","yes","yes","no","no","product","yes","both","yes","both","no","platform","local","non-linear","no","no","no","yes","yes","no","no","yes","yes","yes","no","online","b2b","yes",5.555555556,0,5.555555556,5.555555556,5.555555556,16.66666667,11.11111111,5.555555556,5.555555556,0,0,0,27.77777778,11.11111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"114",114,"company114","success",2,161,"no",8,0,0,0,4,50,0,"low","yes","large","no","no","no","yes","product","yes","public","yes","both","no","platform","local","non-linear","no","yes","no","no","yes","no","no","yes","no","yes","no","online","b2b","yes",11.76470588,0,5.882352941,0,5.882352941,5.882352941,47.05882353,0,5.882352941,5.882352941,0,5.882352941,0,5.882352941,4,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"116",116,"company116","success",1,115,"no",1,0,0,0,3,10,0,"low","yes","large","yes","yes","no","yes","product","yes","public","yes","both","yes","platform","global","non-linear","no","yes","no","no","no","no","no","yes","no","no","no","online","b2b","no",0,0,28.57142857,0,0,71.42857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"119",119,"company119","success",9,78,"no",0,0,2,7,5,10,3,"medium","no","small","yes","no","no","yes","both","yes","private","no","structured","no","cloud","global","non-linear","yes","no","no","no","no","no","no","yes","no","no","no","online","b2b","yes",2.777777778,11.11111111,77.77777778,0,0,0,8.333333333,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"120",120,"company120","success",6,150,"no",1,0,2,1,8,18,0,"high","no","small","yes","yes","no","no","product","no","public","yes","both","no","platform","local","non-linear","no","no","no","no","no","no","no","yes","no","no","no","online","b2c","yes",7.692307692,0,0,3.846153846,0,0,15.38461538,0,7.692307692,11.53846154,0,0,0,3.846153846,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
"121",121,"company121","success",2,129,"no",0,0,0,0,7,15,0,"low","no","medium","yes","no","no","no","product","no","private","yes","both","no","platform","local","non-linear","no","no","no","no","yes","no","no","yes","no","no","no","online","b2c","yes",0,0,0,69.23076923,0,0,15.38461538,0,0,15.38461538,0,0,0,0,5,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0
"122",122,"company122","success",4,-4,"no",1,0,1,0,4,50,0,"low","no","small","yes","yes","no","no","product","no","private","yes","structured","no","platform","local","non-linear","yes","no","no","yes","yes","no","no","yes","yes","no","no","online","b2b","yes",11.11111111,0,0,27.77777778,0,11.11111111,22.22222222,0,11.11111111,16.66666667,0,0,0,0,7,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"124",124,"company124","success",4,-68,"no",0,0,3,7,7,50,1,"high","no","medium","yes","yes","no","no","product","no","public","yes","both","no","platform","local","non-linear","yes","no","no","no","no","no","no","yes","no","yes","no","online","b2b","yes",11.11111111,0,50,0,0,16.66666667,5.555555556,5.555555556,5.555555556,5.555555556,0,0,0,0,9,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"125",125,"company125","success",3,266,"no",0,0,2,0,4,11,1,"low","yes","large","no","no","no","no","product","yes","private","no","structured","no","cloud","local","non-linear","yes","no","no","no","no","no","no","yes","no","no","no","online","b2b","yes",5.882352941,0,39.4335512,1.960784314,1.960784314,3.812636166,3.812636166,1.960784314,3.921568627,1.960784314,0,0,0,1.960784314,5,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1
"126",126,"company126","success",3,70,"no",0,0,5,0,6,10,0,"low","no","large","yes","yes","yes","yes","product","yes","both","yes","both","no","platform","global","non-linear","no","no","no","yes","no","no","no","yes","no","yes","no","both","b2b","yes",0,0,41.66666667,0,0,2.777777778,2.777777778,0,0,0,0,0,2.777777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"128",128,"company128","success",3,147,"no",0,0,2,0,3,15,0,"nothing","no","medium","yes","yes","no","no","both","yes","public","yes","both","no","platform","local","non-linear","no","no","no","no","yes","no","no","yes","yes","yes","no","online","b2b","yes",16.66666667,0,8.333333333,8.333333333,0,0,41.66666667,0,8.333333333,0,0,8.333333333,0,8.333333333,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"130",130,"company130","success",15,150,"yes",0,0,0,0,10,175,0,"high","no","large","no","no","no","no","both","yes","both","yes","both","no","platform","local","non-linear","no","no","no","no","yes","no","yes","yes","yes","yes","no","online","b2b","yes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"131",131,"company131","success",6,429,"no",0,6,0,0,6,75,3,"high","no","small","yes","yes","no","no","product","yes","both","yes","both","no","platform","global","non-linear","no","no","no","no","yes","no","no","yes","no","no","no","online","b2c","yes",10,0,15,15,0,10,30,5,5,5,0,5,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"132",132,"company132","success",8,-385,"yes",0,0,2,0,12,120,1,"low","no","small","yes","yes","no","no","product","yes","private","yes","both","no","cloud","global","non-linear","no","yes","no","no","no","no","no","yes","yes","yes","no","online","b2b","yes",8.823529412,0,2.941176471,8.823529412,2.941176471,5.882352941,8.823529412,0,11.76470588,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"133",133,"company133","success",2,96,"no",0,1,3,3,4,16,0,"low","no","medium","yes","yes","no","yes","product","yes","public","yes","both","yes","platform","global","non-linear","no","no","no","no","yes","no","no","yes","yes","no","no","online","b2b","yes",25,0,37.5,0,0,25,0,12.5,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"134",134,"company134","success",4,81,"no",0,2,1,0,8,23,0,"low","no","small","yes","yes","no","no","product","yes","public","yes","unstructured","no","platform","local","non-linear","no","no","no","yes","no","no","no","no","no","yes","no","online","b2b","yes",11.11111111,5.555555556,16.66666667,5.555555556,22.22222222,11.11111111,11.11111111,5.555555556,5.555555556,0,0,0,0,5.555555556,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"136",136,"company136","failed",10,0,"yes",0,0,3,1,5,100,0,"low","no","medium","yes","yes","no","no","both","no","private","yes","both","no","platform","local","non-linear","no","no","no","no","no","no","no","no","no","no","no","online","b2b","yes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"138",138,"company138","failed",10,-445,"yes",0,0,1,0,6,10,0,"high","yes","medium","yes","yes","no","no","product","yes","public","no","unstructured","no","platform","global","non-linear","no","yes","no","no","no","no","no","no","no","no","yes","online","b2c","yes",12.5,3.125,12.5,9.375,18.75,3.125,21.875,6.25,0,9.375,0,0,0,3.125,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"139",139,"company139","failed",9,-91,"no",0,0,3,0,5,30,0,"nothing","no","small","no","no","no","yes","product","no","public","yes","both","no","platform","global","non-linear","yes","no","no","yes","no","no","no","yes","no","no","yes","online","b2c","yes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"140",140,"company140","failed",5,-69,"no",0,0,0,0,5,80,1,"medium","no","small","yes","yes","no","yes","service","no","public","no","no","no","platform","local","non-linear","yes","no","no","no","no","no","no","no","no","no","yes","online","b2b","yes",13.33333333,0,13.33333333,0,0,0,46.66666667,6.666666667,6.666666667,6.666666667,0,0,0,6.666666667,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"141",141,"company141","failed",9,-46,"no",0,1,1,0,5,50,0,"nothing","no","small","yes","yes","no","yes","product","no","no","no","no","yes","platform","global","non-linear","no","no","no","no","no","no","no","no","no","no","yes","online","b2c","yes",11.76470588,0,5.882352941,23.52941176,0,0,17.64705882,11.76470588,5.882352941,23.52941176,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"146",146,"company146","failed",6,-535,"no",0,2,0,0,1,10,0,"low","no","small","no","no","no","no","product","no","public","yes","both","no","platform","global","non-linear","no","no","no","no","no","no","no","yes","no","no","no","online","b2c","no",12.5,0,25,12.5,0,0,25,12.5,0,12.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"147",147,"company147","failed",7,-8,"no",0,0,0,0,3,10,1,"nothing","no","medium","no","no","no","yes","service","no","public","no","unstructured","no","platform","global","non-linear","no","no","no","no","no","no","no","no","no","no","no","online","b2c","no",7.692307692,0,38.46153846,0,0,15.38461538,7.692307692,7.692307692,0,23.07692308,0,0,0,0,5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"151",151,"company151","failed",7,-9,"yes",0,0,3,2,6,40,0,"nothing","no","small","yes","yes","no","no","service","no","private","no","both","yes","platform","local","non-linear","no","yes","no","yes","yes","no","yes","yes","no","no","yes","online","b2c","no",11.11111111,0,0,44.44444444,5.555555556,0,22.22222222,5.555555556,5.555555556,0,0,0,0,5.555555556,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"153",153,"company153","failed",4,115,"yes",0,0,2,0,2,50,1,"nothing","no","small","no","no","no","no","service","no","private","no","no","yes","platform","global","non-linear","no","yes","no","no","no","no","no","no","no","no","yes","online","b2c","no",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"154",154,"company154","failed",4,115,"no",1,0,2,0,2,3,0,"nothing","yes","small","yes","yes","no","no","service","no","private","no","both","no","platform","global","non-linear","no","no","no","no","no","no","no","no","no","no","no","offline","b2b","yes",2.941176471,2.941176471,69.32773109,11.76470588,0,0,3.571428571,5.882352941,0,3.571428571,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"156",156,"company156","success",7,120,"yes",0,1,3,6,11,322,4,"high","no","medium","yes","yes","yes","yes","product","no","public","yes","structured","yes","platform","global","linear","yes","no","no","no","no","no","no","yes","no","no","no","both","b2b","yes",7.407407407,0,35.18518519,3.703703704,0,1.851851852,7.407407407,5.555555556,0,5.555555556,0,0,0,0,5,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"157",157,"company157","success",7,-69,"yes",0,7,2,0,6,46,6,"high","no","medium","yes","yes","no","no","product","yes","private","no","structured","no","both","global","linear","yes","no","no","no","no","no","no","yes","yes","no","no","online","b2b","no",0,0,88.88888889,0,0,8.333333333,2.777777778,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"160",160,"company160","failed",7,115,"no",0,1,2,0,3,4,0,"low","no","medium","yes","yes","no","no","service","no","public","no","both","yes","platform","global","linear","yes","yes","no","yes","yes","no","yes","yes","no","no","no","online","b2c","yes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"162",162,"company162","success",1,120,"no",0,7,4,1,4,8,4,"nothing","no","small","yes","no","no","no","service","no","private","no","structured","no","platform","local","non-linear","no","no","no","no","yes","no","no","yes","no","no","no","online","b2b","no",5.555555556,2.777777778,54.86111111,6.25,5.555555556,15.27777778,5.555555556,1.388888889,0,0,0,2.777777778,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"163",163,"company163","success",7,355,"yes",0,0,2,3,3,105,3,"high","no","large","yes","no","yes","yes","product","yes","private","no","both","yes","both","global","linear","yes","yes","no","yes","yes","no","yes","yes","no","yes","no","online","b2c","no",0,0,0,20,0,20,20,20,0,0,0,20,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"164",164,"company164","success",5,115,"no",4,0,2,0,2,5,0,"medium","no","small","yes","yes","no","no","service","yes","private","yes","both","no","platform","local","non-linear","no","no","no","no","no","no","no","no","no","no","no","offline","b2b","yes",11.11111111,0,22.22222222,11.11111111,0,0,22.22222222,22.22222222,11.11111111,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"166",166,"company166","success",3,221,"yes",9,0,2,0,6,32,3,"high","no","large","no","no","no","no","service","no","private","yes","structured","yes","platform","local","non-linear","no","no","no","no","no","no","no","no","no","no","no","online","b2c","no",15.25735294,5.882352941,3.125,3.125,6.25,3.125,9.191176471,3.125,11.94852941,32.90441176,0,0,0,6.066176471,4,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0
"168",168,"company168","success",7,84,"yes",0,0,1,4,5,290,0,"medium","no","small","yes","yes","no","yes","service","yes","private","no","both","no","platform","global","non-linear","no","no","no","no","no","no","no","no","no","no","no","online","b2b","no",5.555555556,5.555555556,0,66.66666667,0,0,16.66666667,0,0,5.555555556,0,0,0,0,8,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
"174",174,"company174","success",12,83,"yes",0,0,1,6,7,18,0,"high","no","medium","yes","yes","no","no","service","yes","private","no","structured","no","platform","global","linear","yes","no","no","no","no","no","no","yes","no","no","no","offline","b2b","no",0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"175",175,"company175","success",4,191,"no",0,9,2,0,3,8,0,"high","yes","large","yes","yes","no","no","product","no","private","no","both","no","platform","global","non-linear","no","no","no","yes","yes","no","yes","yes","no","no","no","offline","b2b","yes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
"176",176,"company176","success",2,23,"yes",1,0,1,1,2,10,0,"medium","no","small","yes","yes","no","no","service","no","private","yes","structured","yes","platform","local","linear","no","no","no","no","no","no","no","yes","no","no","no","online","b2c","no",16.66666667,16.66666667,0,8.333333333,25,0,8.333333333,8.333333333,8.333333333,8.333333333,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"177",177,"company177","success",5,56,"yes",3,5,2,2,1,14,2,"high","yes","large","no","no","no","no","service","yes","private","yes","structured","yes","platform","global","non-linear","no","no","no","no","no","no","yes","no","yes","no","no","online","b2b","no",8.994708995,1.960784314,28.82041706,17.98941799,1.587301587,3.703703704,19.7945845,9.212573918,4.761904762,3.174603175,0,0,0,0,8,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"178",178,"company178","success",6,246,"yes",1,2,3,3,8,60,2,"medium","yes","large","no","no","no","no","service","yes","private","yes","structured","yes","platform","global","non-linear","no","no","no","yes","no","no","yes","yes","no","no","no","online","b2b","yes",1.851851852,1.851851852,49.05312552,0,0,38.90564773,4.415954416,0,0,3.921568627,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"179",179,"company179","success",3,299,"yes",3,0,2,2,3,25,2,"high","no","small","no","no","no","no","service","yes","private","yes","structured","yes","platform","global","non-linear","no","no","no","no","yes","no","no","no","no","no","no","online","b2b","yes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"180",180,"company180","success",4,-100,"yes",17,0,2,5,2,11,10,"medium","yes","medium","yes","yes","no","no","service","yes","private","yes","structured","yes","platform","global","non-linear","no","no","no","no","no","no","yes","no","no","no","no","online","b2c","yes",11.80555556,0,9.375,39.23611111,0,5.902777778,18.05555556,6.25,0,9.375,0,0,0,0,8,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"181",181,"company181","success",2,143,"yes",1,0,2,6,4,22,0,"low","no","medium","no","no","no","no","service","yes","private","yes","structured","yes","cloud","global","non-linear","no","no","no","no","yes","no","yes","no","no","no","no","online","b2c","no",0,0,16.66666667,0,0,0,50,0,0,0,33.33333333,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"182",182,"company182","success",4,-69,"yes",12,0,3,0,3,7,0,"medium","yes","medium","yes","no","no","no","product","yes","private","yes","unstructured","yes","platform","global","non-linear","no","no","no","no","yes","no","yes","no","no","no","no","online","b2b","yes",5.773420479,1.960784314,31.59041394,9.803921569,5.882352941,1.960784314,5.773420479,1.960784314,1.960784314,0,0,0,0,0,9,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"183",183,"company183","success",3,398,"yes",9,0,2,0,2,11,0,"high","no","small","yes","no","no","no","service","no","private","yes","structured","yes","platform","global","non-linear","no","no","no","no","yes","no","no","no","no","no","no","online","b2b","yes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"184",184,"company184","success",2,193,"yes",5,0,3,0,3,22,0,"low","no","medium","no","no","no","no","service","no","private","yes","structured","yes","platform","global","non-linear","no","no","yes","yes","no","no","no","yes","no","no","no","online","b2c","no",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"185",185,"company185","success",2,123,"no",1,0,2,4,3,8,5,"medium","no","small","yes","yes","no","no","product","yes","private","yes","structured","yes","cloud","global","non-linear","no","no","no","no","no","no","yes","yes","no","no","no","online","b2b","no",17.64705882,0,29.41176471,11.76470588,0,0,11.76470588,11.76470588,5.882352941,11.76470588,0,0,0,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"186",186,"company186","success",4,0,"yes",11,0,3,9,9,50,0,"medium","no","small","yes","yes","no","no","product","yes","private","yes","unstructured","yes","platform","local","non-linear","no","no","no","no","no","no","yes","yes","yes","no","yes","online","b2c","yes",9.607843137,0,3.333333333,21.76470588,0,3.333333333,25.09803922,6.274509804,8.823529412,18.43137255,0,0,0,3.333333333,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"187",187,"company187","success",2,53,"no",3,0,0,1,4,10,0,"medium","no","small","no","no","no","no","service","yes","public","no","structured","no","cloud","local","linear","no","no","no","no","yes","no","yes","no","no","no","no","online","b2c","yes",0,30,10,0,0,0,20,0,10,30,0,0,0,0,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"188",188,"company188","success",3,143,"yes",1,0,2,0,2,10,1,"low","no","small","no","no","no","yes","service","yes","private","yes","unstructured","yes","platform","local","non-linear","yes","no","no","yes","no","no","yes","no","no","no","yes","offline","b2c","yes",0,0,50,12.5,0,12.5,12.5,12.5,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
"190",190,"company190","success",3,28,"yes",0,0,2,2,5,50,2,"medium","yes","medium","yes","yes","no","no","product","yes","private","yes","structured","yes","cloud","global","non-linear","no","no","no","no","yes","no","no","yes","no","no","no","online","b2b","no",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"191",191,"company191","success",7,149,"yes",3,0,1,4,6,15,1,"medium","yes","large","yes","yes","no","no","product","yes","private","yes","structured","yes","platform","global","non-linear","no","no","no","no","no","no","yes","no","no","no","no","online","b2b","no",33.33333333,0,0,0,0,0,33.33333333,16.66666667,16.66666667,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"192",192,"company192","success",3,448,"yes",3,0,2,0,2,15,1,"high","no","medium","no","no","no","no","product","yes","private","yes","structured","yes","platform","global","non-linear","no","no","no","no","no","no","yes","no","yes","no","no","online","b2b","no",11.11111111,0,22.22222222,27.77777778,5.555555556,11.11111111,11.11111111,5.555555556,0,5.555555556,0,0,0,0,9,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"193",193,"company193","success",2,0,"yes",0,0,2,8,2,15,1,"medium","no","medium","yes","yes","no","no","service","yes","private","yes","structured","yes","cloud","global","non-linear","yes","no","no","no","no","no","no","yes","no","no","no","online","b2b","yes",0,5.882352941,70.58823529,2.941176471,0,0,17.64705882,2.941176471,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"195",195,"company195","success",1,286,"yes",0,0,2,6,6,43,0,"medium","no","medium","yes","no","no","no","service","no","private","yes","structured","yes","platform","global","non-linear","no","no","no","no","yes","no","no","no","no","no","no","online","b2b","yes",9.490740741,5.787037037,30.32407407,11.34259259,1.851851852,17.12962963,9.259259259,3.703703704,3.703703704,5.555555556,0,0,1.851851852,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"197",197,"company197","success",3,270,"yes",0,3,2,2,3,20,3,"low","no","medium","yes","no","no","no","product","yes","private","no","structured","yes","cloud","global","non-linear","no","no","no","no","no","no","no","yes","no","no","no","online","b2b","yes",6.944444444,0,62.5,8.333333333,0,8.333333333,5.555555556,8.333333333,0,0,0,0,0,0,8,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"198",198,"company198","success",2,299,"yes",3,0,2,2,2,22,3,"high","yes","medium","no","no","no","no","service","yes","private","yes","unstructured","yes","platform","global","non-linear","no","no","no","yes","no","no","no","yes","no","no","no","online","b2b","no",25,0,0,25,0,0,25,0,0,0,0,0,0,25,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"199",199,"company199","success",3,291,"no",7,0,2,1,2,8,1,"high","yes","medium","no","no","no","no","service","yes","private","yes","structured","yes","cloud","global","non-linear","no","no","no","no","no","no","yes","yes","no","no","no","online","b2b","no",0,0,83.33333333,0,0,0,0,16.66666667,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"200",200,"company200","success",5,456,"yes",0,0,2,0,6,80,3,"high","yes","medium","no","no","no","no","product","yes","private","no","structured","yes","cloud","global","non-linear","no","no","no","no","no","no","yes","yes","no","no","no","online","b2b","no",5.555555556,5.555555556,66.66666667,0,0,16.66666667,5.555555556,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"201",201,"company201","success",4,331,"yes",1,0,2,1,10,226,6,"high","yes","medium","yes","yes","no","no","product","yes","private","yes","structured","yes","platform","global","non-linear","no","no","no","yes","yes","no","yes","yes","no","no","no","online","b2b","yes",0,0,41.66666667,0,0,0,8.333333333,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
